Metric,Amount,Currency,Date,Context 1,Context 2,Context 3,Context 4,Context 5,Context 6,Context 7,Context 8,Context 9,Context 10,Context 11,Context 12,Context 13,Context 14,Context 15,Context 16,Context 17,Context 18,Context 19,Context 20,Context 21,Context 22,Context 23,Context 24,Context 25,Context 26,Context 27,Context 28,Context 29,Context 30,Context 31,Context 32,Context 33,Context 34,Context 35,Context 36,Context 37,Context 38,Context 39,Context 40,Context 41,Context 42,Context 43,Context 44,Context 45,Context 46,Context 47,Context 48,Context 49,Context 50,Context 51
Cash at bank,100011,NZD,2026-05-31,value-11-1,value-11-2,value-11-3,value-11-4,value-11-5,value-11-6,value-11-7,value-11-8,value-11-9,value-11-10,value-11-11,value-11-12,value-11-13,value-11-14,value-11-15,value-11-16,value-11-17,value-11-18,value-11-19,value-11-20,value-11-21,value-11-22,value-11-23,value-11-24,value-11-25,value-11-26,value-11-27,value-11-28,value-11-29,value-11-30,value-11-31,value-11-32,value-11-33,value-11-34,value-11-35,value-11-36,value-11-37,value-11-38,value-11-39,value-11-40,value-11-41,value-11-42,value-11-43,value-11-44,value-11-45,value-11-46,value-11-47,value-11-48,value-11-49,value-11-50,value-11-51
Monthly revenue,100012,NZD,2026-05-31,value-12-1,value-12-2,value-12-3,value-12-4,value-12-5,value-12-6,value-12-7,value-12-8,value-12-9,value-12-10,value-12-11,value-12-12,value-12-13,value-12-14,value-12-15,value-12-16,value-12-17,value-12-18,value-12-19,value-12-20,value-12-21,value-12-22,value-12-23,value-12-24,value-12-25,value-12-26,value-12-27,value-12-28,value-12-29,value-12-30,value-12-31,value-12-32,value-12-33,value-12-34,value-12-35,value-12-36,value-12-37,value-12-38,value-12-39,value-12-40,value-12-41,value-12-42,value-12-43,value-12-44,value-12-45,value-12-46,value-12-47,value-12-48,value-12-49,value-12-50,value-12-51
Cash at bank,100013,NZD,2026-05-31,value-13-1,value-13-2,value-13-3,value-13-4,value-13-5,value-13-6,value-13-7,value-13-8,value-13-9,value-13-10,value-13-11,value-13-12,value-13-13,value-13-14,value-13-15,value-13-16,value-13-17,value-13-18,value-13-19,value-13-20,value-13-21,value-13-22,value-13-23,value-13-24,value-13-25,value-13-26,value-13-27,value-13-28,value-13-29,value-13-30,value-13-31,value-13-32,value-13-33,value-13-34,value-13-35,value-13-36,value-13-37,value-13-38,value-13-39,value-13-40,value-13-41,value-13-42,value-13-43,value-13-44,value-13-45,value-13-46,value-13-47,value-13-48,value-13-49,value-13-50,value-13-51
Monthly revenue,100014,NZD,2026-05-31,value-14-1,value-14-2,value-14-3,value-14-4,value-14-5,value-14-6,value-14-7,value-14-8,value-14-9,value-14-10,value-14-11,value-14-12,value-14-13,value-14-14,value-14-15,value-14-16,value-14-17,value-14-18,value-14-19,value-14-20,value-14-21,value-14-22,value-14-23,value-14-24,value-14-25,value-14-26,value-14-27,value-14-28,value-14-29,value-14-30,value-14-31,value-14-32,value-14-33,value-14-34,value-14-35,value-14-36,value-14-37,value-14-38,value-14-39,value-14-40,value-14-41,value-14-42,value-14-43,value-14-44,value-14-45,value-14-46,value-14-47,value-14-48,value-14-49,value-14-50,value-14-51
Cash at bank,100015,NZD,2026-05-31,value-15-1,value-15-2,value-15-3,value-15-4,value-15-5,value-15-6,value-15-7,value-15-8,value-15-9,value-15-10,value-15-11,value-15-12,value-15-13,value-15-14,value-15-15,value-15-16,value-15-17,value-15-18,value-15-19,value-15-20,value-15-21,value-15-22,value-15-23,value-15-24,value-15-25,value-15-26,value-15-27,value-15-28,value-15-29,value-15-30,value-15-31,value-15-32,value-15-33,value-15-34,value-15-35,value-15-36,value-15-37,value-15-38,value-15-39,value-15-40,value-15-41,value-15-42,value-15-43,value-15-44,value-15-45,value-15-46,value-15-47,value-15-48,value-15-49,value-15-50,value-15-51
Monthly revenue,100016,NZD,2026-05-31,value-16-1,value-16-2,value-16-3,value-16-4,value-16-5,value-16-6,value-16-7,value-16-8,value-16-9,value-16-10,value-16-11,value-16-12,value-16-13,value-16-14,value-16-15,value-16-16,value-16-17,value-16-18,value-16-19,value-16-20,value-16-21,value-16-22,value-16-23,value-16-24,value-16-25,value-16-26,value-16-27,value-16-28,value-16-29,value-16-30,value-16-31,value-16-32,value-16-33,value-16-34,value-16-35,value-16-36,value-16-37,value-16-38,value-16-39,value-16-40,value-16-41,value-16-42,value-16-43,value-16-44,value-16-45,value-16-46,value-16-47,value-16-48,value-16-49,value-16-50,value-16-51
Cash at bank,100017,NZD,2026-05-31,value-17-1,value-17-2,value-17-3,value-17-4,value-17-5,value-17-6,value-17-7,value-17-8,value-17-9,value-17-10,value-17-11,value-17-12,value-17-13,value-17-14,value-17-15,value-17-16,value-17-17,value-17-18,value-17-19,value-17-20,value-17-21,value-17-22,value-17-23,value-17-24,value-17-25,value-17-26,value-17-27,value-17-28,value-17-29,value-17-30,value-17-31,value-17-32,value-17-33,value-17-34,value-17-35,value-17-36,value-17-37,value-17-38,value-17-39,value-17-40,value-17-41,value-17-42,value-17-43,value-17-44,value-17-45,value-17-46,value-17-47,value-17-48,value-17-49,value-17-50,value-17-51
Monthly revenue,100018,NZD,2026-05-31,value-18-1,value-18-2,value-18-3,value-18-4,value-18-5,value-18-6,value-18-7,value-18-8,value-18-9,value-18-10,value-18-11,value-18-12,value-18-13,value-18-14,value-18-15,value-18-16,value-18-17,value-18-18,value-18-19,value-18-20,value-18-21,value-18-22,value-18-23,value-18-24,value-18-25,value-18-26,value-18-27,value-18-28,value-18-29,value-18-30,value-18-31,value-18-32,value-18-33,value-18-34,value-18-35,value-18-36,value-18-37,value-18-38,value-18-39,value-18-40,value-18-41,value-18-42,value-18-43,value-18-44,value-18-45,value-18-46,value-18-47,value-18-48,value-18-49,value-18-50,value-18-51
Cash at bank,100019,NZD,2026-05-31,value-19-1,value-19-2,value-19-3,value-19-4,value-19-5,value-19-6,value-19-7,value-19-8,value-19-9,value-19-10,value-19-11,value-19-12,value-19-13,value-19-14,value-19-15,value-19-16,value-19-17,value-19-18,value-19-19,value-19-20,value-19-21,value-19-22,value-19-23,value-19-24,value-19-25,value-19-26,value-19-27,value-19-28,value-19-29,value-19-30,value-19-31,value-19-32,value-19-33,value-19-34,value-19-35,value-19-36,value-19-37,value-19-38,value-19-39,value-19-40,value-19-41,value-19-42,value-19-43,value-19-44,value-19-45,value-19-46,value-19-47,value-19-48,value-19-49,value-19-50,value-19-51
Monthly revenue,100020,NZD,2026-05-31,value-20-1,value-20-2,value-20-3,value-20-4,value-20-5,value-20-6,value-20-7,value-20-8,value-20-9,value-20-10,value-20-11,value-20-12,value-20-13,value-20-14,value-20-15,value-20-16,value-20-17,value-20-18,value-20-19,value-20-20,value-20-21,value-20-22,value-20-23,value-20-24,value-20-25,value-20-26,value-20-27,value-20-28,value-20-29,value-20-30,value-20-31,value-20-32,value-20-33,value-20-34,value-20-35,value-20-36,value-20-37,value-20-38,value-20-39,value-20-40,value-20-41,value-20-42,value-20-43,value-20-44,value-20-45,value-20-46,value-20-47,value-20-48,value-20-49,value-20-50,value-20-51
Cash at bank,100021,NZD,2026-05-31,value-21-1,value-21-2,value-21-3,value-21-4,value-21-5,value-21-6,value-21-7,value-21-8,value-21-9,value-21-10,value-21-11,value-21-12,value-21-13,value-21-14,value-21-15,value-21-16,value-21-17,value-21-18,value-21-19,value-21-20,value-21-21,value-21-22,value-21-23,value-21-24,value-21-25,value-21-26,value-21-27,value-21-28,value-21-29,value-21-30,value-21-31,value-21-32,value-21-33,value-21-34,value-21-35,value-21-36,value-21-37,value-21-38,value-21-39,value-21-40,value-21-41,value-21-42,value-21-43,value-21-44,value-21-45,value-21-46,value-21-47,value-21-48,value-21-49,value-21-50,value-21-51
Monthly revenue,100022,NZD,2026-05-31,value-22-1,value-22-2,value-22-3,value-22-4,value-22-5,value-22-6,value-22-7,value-22-8,value-22-9,value-22-10,value-22-11,value-22-12,value-22-13,value-22-14,value-22-15,value-22-16,value-22-17,value-22-18,value-22-19,value-22-20,value-22-21,value-22-22,value-22-23,value-22-24,value-22-25,value-22-26,value-22-27,value-22-28,value-22-29,value-22-30,value-22-31,value-22-32,value-22-33,value-22-34,value-22-35,value-22-36,value-22-37,value-22-38,value-22-39,value-22-40,value-22-41,value-22-42,value-22-43,value-22-44,value-22-45,value-22-46,value-22-47,value-22-48,value-22-49,value-22-50,value-22-51
Cash at bank,100023,NZD,2026-05-31,value-23-1,value-23-2,value-23-3,value-23-4,value-23-5,value-23-6,value-23-7,value-23-8,value-23-9,value-23-10,value-23-11,value-23-12,value-23-13,value-23-14,value-23-15,value-23-16,value-23-17,value-23-18,value-23-19,value-23-20,value-23-21,value-23-22,value-23-23,value-23-24,value-23-25,value-23-26,value-23-27,value-23-28,value-23-29,value-23-30,value-23-31,value-23-32,value-23-33,value-23-34,value-23-35,value-23-36,value-23-37,value-23-38,value-23-39,value-23-40,value-23-41,value-23-42,value-23-43,value-23-44,value-23-45,value-23-46,value-23-47,value-23-48,value-23-49,value-23-50,value-23-51
Monthly revenue,100024,NZD,2026-05-31,value-24-1,value-24-2,value-24-3,value-24-4,value-24-5,value-24-6,value-24-7,value-24-8,value-24-9,value-24-10,value-24-11,value-24-12,value-24-13,value-24-14,value-24-15,value-24-16,value-24-17,value-24-18,value-24-19,value-24-20,value-24-21,value-24-22,value-24-23,value-24-24,value-24-25,value-24-26,value-24-27,value-24-28,value-24-29,value-24-30,value-24-31,value-24-32,value-24-33,value-24-34,value-24-35,value-24-36,value-24-37,value-24-38,value-24-39,value-24-40,value-24-41,value-24-42,value-24-43,value-24-44,value-24-45,value-24-46,value-24-47,value-24-48,value-24-49,value-24-50,value-24-51
Cash at bank,100025,NZD,2026-05-31,value-25-1,value-25-2,value-25-3,value-25-4,value-25-5,value-25-6,value-25-7,value-25-8,value-25-9,value-25-10,value-25-11,value-25-12,value-25-13,value-25-14,value-25-15,value-25-16,value-25-17,value-25-18,value-25-19,value-25-20,value-25-21,value-25-22,value-25-23,value-25-24,value-25-25,value-25-26,value-25-27,value-25-28,value-25-29,value-25-30,value-25-31,value-25-32,value-25-33,value-25-34,value-25-35,value-25-36,value-25-37,value-25-38,value-25-39,value-25-40,value-25-41,value-25-42,value-25-43,value-25-44,value-25-45,value-25-46,value-25-47,value-25-48,value-25-49,value-25-50,value-25-51
Monthly revenue,100026,NZD,2026-05-31,value-26-1,value-26-2,value-26-3,value-26-4,value-26-5,value-26-6,value-26-7,value-26-8,value-26-9,value-26-10,value-26-11,value-26-12,value-26-13,value-26-14,value-26-15,value-26-16,value-26-17,value-26-18,value-26-19,value-26-20,value-26-21,value-26-22,value-26-23,value-26-24,value-26-25,value-26-26,value-26-27,value-26-28,value-26-29,value-26-30,value-26-31,value-26-32,value-26-33,value-26-34,value-26-35,value-26-36,value-26-37,value-26-38,value-26-39,value-26-40,value-26-41,value-26-42,value-26-43,value-26-44,value-26-45,value-26-46,value-26-47,value-26-48,value-26-49,value-26-50,value-26-51
Cash at bank,100027,NZD,2026-05-31,value-27-1,value-27-2,value-27-3,value-27-4,value-27-5,value-27-6,value-27-7,value-27-8,value-27-9,value-27-10,value-27-11,value-27-12,value-27-13,value-27-14,value-27-15,value-27-16,value-27-17,value-27-18,value-27-19,value-27-20,value-27-21,value-27-22,value-27-23,value-27-24,value-27-25,value-27-26,value-27-27,value-27-28,value-27-29,value-27-30,value-27-31,value-27-32,value-27-33,value-27-34,value-27-35,value-27-36,value-27-37,value-27-38,value-27-39,value-27-40,value-27-41,value-27-42,value-27-43,value-27-44,value-27-45,value-27-46,value-27-47,value-27-48,value-27-49,value-27-50,value-27-51
Monthly revenue,100028,NZD,2026-05-31,value-28-1,value-28-2,value-28-3,value-28-4,value-28-5,value-28-6,value-28-7,value-28-8,value-28-9,value-28-10,value-28-11,value-28-12,value-28-13,value-28-14,value-28-15,value-28-16,value-28-17,value-28-18,value-28-19,value-28-20,value-28-21,value-28-22,value-28-23,value-28-24,value-28-25,value-28-26,value-28-27,value-28-28,value-28-29,value-28-30,value-28-31,value-28-32,value-28-33,value-28-34,value-28-35,value-28-36,value-28-37,value-28-38,value-28-39,value-28-40,value-28-41,value-28-42,value-28-43,value-28-44,value-28-45,value-28-46,value-28-47,value-28-48,value-28-49,value-28-50,value-28-51
Cash at bank,100029,NZD,2026-05-31,value-29-1,value-29-2,value-29-3,value-29-4,value-29-5,value-29-6,value-29-7,value-29-8,value-29-9,value-29-10,value-29-11,value-29-12,value-29-13,value-29-14,value-29-15,value-29-16,value-29-17,value-29-18,value-29-19,value-29-20,value-29-21,value-29-22,value-29-23,value-29-24,value-29-25,value-29-26,value-29-27,value-29-28,value-29-29,value-29-30,value-29-31,value-29-32,value-29-33,value-29-34,value-29-35,value-29-36,value-29-37,value-29-38,value-29-39,value-29-40,value-29-41,value-29-42,value-29-43,value-29-44,value-29-45,value-29-46,value-29-47,value-29-48,value-29-49,value-29-50,value-29-51
Monthly revenue,100030,NZD,2026-05-31,value-30-1,value-30-2,value-30-3,value-30-4,value-30-5,value-30-6,value-30-7,value-30-8,value-30-9,value-30-10,value-30-11,value-30-12,value-30-13,value-30-14,value-30-15,value-30-16,value-30-17,value-30-18,value-30-19,value-30-20,value-30-21,value-30-22,value-30-23,value-30-24,value-30-25,value-30-26,value-30-27,value-30-28,value-30-29,value-30-30,value-30-31,value-30-32,value-30-33,value-30-34,value-30-35,value-30-36,value-30-37,value-30-38,value-30-39,value-30-40,value-30-41,value-30-42,value-30-43,value-30-44,value-30-45,value-30-46,value-30-47,value-30-48,value-30-49,value-30-50,value-30-51
Cash at bank,100031,NZD,2026-05-31,value-31-1,value-31-2,value-31-3,value-31-4,value-31-5,value-31-6,value-31-7,value-31-8,value-31-9,value-31-10,value-31-11,value-31-12,value-31-13,value-31-14,value-31-15,value-31-16,value-31-17,value-31-18,value-31-19,value-31-20,value-31-21,value-31-22,value-31-23,value-31-24,value-31-25,value-31-26,value-31-27,value-31-28,value-31-29,value-31-30,value-31-31,value-31-32,value-31-33,value-31-34,value-31-35,value-31-36,value-31-37,value-31-38,value-31-39,value-31-40,value-31-41,value-31-42,value-31-43,value-31-44,value-31-45,value-31-46,value-31-47,value-31-48,value-31-49,value-31-50,value-31-51
Monthly revenue,100032,NZD,2026-05-31,value-32-1,value-32-2,value-32-3,value-32-4,value-32-5,value-32-6,value-32-7,value-32-8,value-32-9,value-32-10,value-32-11,value-32-12,value-32-13,value-32-14,value-32-15,value-32-16,value-32-17,value-32-18,value-32-19,value-32-20,value-32-21,value-32-22,value-32-23,value-32-24,value-32-25,value-32-26,value-32-27,value-32-28,value-32-29,value-32-30,value-32-31,value-32-32,value-32-33,value-32-34,value-32-35,value-32-36,value-32-37,value-32-38,value-32-39,value-32-40,value-32-41,value-32-42,value-32-43,value-32-44,value-32-45,value-32-46,value-32-47,value-32-48,value-32-49,value-32-50,value-32-51
Cash at bank,100033,NZD,2026-05-31,value-33-1,value-33-2,value-33-3,value-33-4,value-33-5,value-33-6,value-33-7,value-33-8,value-33-9,value-33-10,value-33-11,value-33-12,value-33-13,value-33-14,value-33-15,value-33-16,value-33-17,value-33-18,value-33-19,value-33-20,value-33-21,value-33-22,value-33-23,value-33-24,value-33-25,value-33-26,value-33-27,value-33-28,value-33-29,value-33-30,value-33-31,value-33-32,value-33-33,value-33-34,value-33-35,value-33-36,value-33-37,value-33-38,value-33-39,value-33-40,value-33-41,value-33-42,value-33-43,value-33-44,value-33-45,value-33-46,value-33-47,value-33-48,value-33-49,value-33-50,value-33-51
Monthly revenue,100034,NZD,2026-05-31,value-34-1,value-34-2,value-34-3,value-34-4,value-34-5,value-34-6,value-34-7,value-34-8,value-34-9,value-34-10,value-34-11,value-34-12,value-34-13,value-34-14,value-34-15,value-34-16,value-34-17,value-34-18,value-34-19,value-34-20,value-34-21,value-34-22,value-34-23,value-34-24,value-34-25,value-34-26,value-34-27,value-34-28,value-34-29,value-34-30,value-34-31,value-34-32,value-34-33,value-34-34,value-34-35,value-34-36,value-34-37,value-34-38,value-34-39,value-34-40,value-34-41,value-34-42,value-34-43,value-34-44,value-34-45,value-34-46,value-34-47,value-34-48,value-34-49,value-34-50,value-34-51
Cash at bank,100035,NZD,2026-05-31,value-35-1,value-35-2,value-35-3,value-35-4,value-35-5,value-35-6,value-35-7,value-35-8,value-35-9,value-35-10,value-35-11,value-35-12,value-35-13,value-35-14,value-35-15,value-35-16,value-35-17,value-35-18,value-35-19,value-35-20,value-35-21,value-35-22,value-35-23,value-35-24,value-35-25,value-35-26,value-35-27,value-35-28,value-35-29,value-35-30,value-35-31,value-35-32,value-35-33,value-35-34,value-35-35,value-35-36,value-35-37,value-35-38,value-35-39,value-35-40,value-35-41,value-35-42,value-35-43,value-35-44,value-35-45,value-35-46,value-35-47,value-35-48,value-35-49,value-35-50,value-35-51
Monthly revenue,100036,NZD,2026-05-31,value-36-1,value-36-2,value-36-3,value-36-4,value-36-5,value-36-6,value-36-7,value-36-8,value-36-9,value-36-10,value-36-11,value-36-12,value-36-13,value-36-14,value-36-15,value-36-16,value-36-17,value-36-18,value-36-19,value-36-20,value-36-21,value-36-22,value-36-23,value-36-24,value-36-25,value-36-26,value-36-27,value-36-28,value-36-29,value-36-30,value-36-31,value-36-32,value-36-33,value-36-34,value-36-35,value-36-36,value-36-37,value-36-38,value-36-39,value-36-40,value-36-41,value-36-42,value-36-43,value-36-44,value-36-45,value-36-46,value-36-47,value-36-48,value-36-49,value-36-50,value-36-51
Cash at bank,100037,NZD,2026-05-31,value-37-1,value-37-2,value-37-3,value-37-4,value-37-5,value-37-6,value-37-7,value-37-8,value-37-9,value-37-10,value-37-11,value-37-12,value-37-13,value-37-14,value-37-15,value-37-16,value-37-17,value-37-18,value-37-19,value-37-20,value-37-21,value-37-22,value-37-23,value-37-24,value-37-25,value-37-26,value-37-27,value-37-28,value-37-29,value-37-30,value-37-31,value-37-32,value-37-33,value-37-34,value-37-35,value-37-36,value-37-37,value-37-38,value-37-39,value-37-40,value-37-41,value-37-42,value-37-43,value-37-44,value-37-45,value-37-46,value-37-47,value-37-48,value-37-49,value-37-50,value-37-51
Monthly revenue,100038,NZD,2026-05-31,value-38-1,value-38-2,value-38-3,value-38-4,value-38-5,value-38-6,value-38-7,value-38-8,value-38-9,value-38-10,value-38-11,value-38-12,value-38-13,value-38-14,value-38-15,value-38-16,value-38-17,value-38-18,value-38-19,value-38-20,value-38-21,value-38-22,value-38-23,value-38-24,value-38-25,value-38-26,value-38-27,value-38-28,value-38-29,value-38-30,value-38-31,value-38-32,value-38-33,value-38-34,value-38-35,value-38-36,value-38-37,value-38-38,value-38-39,value-38-40,value-38-41,value-38-42,value-38-43,value-38-44,value-38-45,value-38-46,value-38-47,value-38-48,value-38-49,value-38-50,value-38-51
Cash at bank,100039,NZD,2026-05-31,value-39-1,value-39-2,value-39-3,value-39-4,value-39-5,value-39-6,value-39-7,value-39-8,value-39-9,value-39-10,value-39-11,value-39-12,value-39-13,value-39-14,value-39-15,value-39-16,value-39-17,value-39-18,value-39-19,value-39-20,value-39-21,value-39-22,value-39-23,value-39-24,value-39-25,value-39-26,value-39-27,value-39-28,value-39-29,value-39-30,value-39-31,value-39-32,value-39-33,value-39-34,value-39-35,value-39-36,value-39-37,value-39-38,value-39-39,value-39-40,value-39-41,value-39-42,value-39-43,value-39-44,value-39-45,value-39-46,value-39-47,value-39-48,value-39-49,value-39-50,value-39-51
Monthly revenue,100040,NZD,2026-05-31,value-40-1,value-40-2,value-40-3,value-40-4,value-40-5,value-40-6,value-40-7,value-40-8,value-40-9,value-40-10,value-40-11,value-40-12,value-40-13,value-40-14,value-40-15,value-40-16,value-40-17,value-40-18,value-40-19,value-40-20,value-40-21,value-40-22,value-40-23,value-40-24,value-40-25,value-40-26,value-40-27,value-40-28,value-40-29,value-40-30,value-40-31,value-40-32,value-40-33,value-40-34,value-40-35,value-40-36,value-40-37,value-40-38,value-40-39,value-40-40,value-40-41,value-40-42,value-40-43,value-40-44,value-40-45,value-40-46,value-40-47,value-40-48,value-40-49,value-40-50,value-40-51
Cash at bank,100041,NZD,2026-05-31,value-41-1,value-41-2,value-41-3,value-41-4,value-41-5,value-41-6,value-41-7,value-41-8,value-41-9,value-41-10,value-41-11,value-41-12,value-41-13,value-41-14,value-41-15,value-41-16,value-41-17,value-41-18,value-41-19,value-41-20,value-41-21,value-41-22,value-41-23,value-41-24,value-41-25,value-41-26,value-41-27,value-41-28,value-41-29,value-41-30,value-41-31,value-41-32,value-41-33,value-41-34,value-41-35,value-41-36,value-41-37,value-41-38,value-41-39,value-41-40,value-41-41,value-41-42,value-41-43,value-41-44,value-41-45,value-41-46,value-41-47,value-41-48,value-41-49,value-41-50,value-41-51
